PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Nazari, MH; Shi, XM				Nazari, Mehdi Honarvar; Shi, Xianming			Developing Renewable Agro-Based Anti-Icers for Sustainable Winter Road Maintenance Operations	JOURNAL OF MATERIALS IN CIVIL ENGINEERING			English	Article						Agro-based anti-icer; Ice melting; Freeze-thaw; Bending beam rheometer (BBR); Corrosivity; Differential scanning calorimetry (DSC); Chemical oxygen demand (COD); Biochemical oxygen demand (BOD)	CONCRETE; PERFORMANCE; FORMATE; DEICERS; SNOW	This work evaluated the performance and impacts of several agro-based anti-icers along with two traditional chloride-based anti-icers (23% by weight NaCl brine and its beet juice blend). A statistical design of experiments (central composite design) was employed for developing anti-icing liquids consisting of cost-competitive chemicals such as renewable agro-based compounds (Concord grape extract and glycerin); sodium chloride; sodium metasilicate; and sodium formate. The following experimentally obtained parameters were examined as a function of the formulation design: ice-melting capacity at -3.9 degrees C, splitting tensile strength of portland cement mortar samples after 10 freeze-thaw/deicer cycles, corrosion rate of C1010 carbon steel after 24-h immersion, and impact on low temperature performance of asphalt binder. One viable formula (the best performer) was tested for thermal properties by measuring its differential scanning calorimetry (DSC) thermograms and other properties (friction coefficient on anti-iced asphalt pavement, pH, oxygen demands). These laboratory data shed light on the selection and formulation of innovative agro-based snow and ice control chemicals that can significantly reduce the costs of winter road maintenance operations.	[Nazari, Mehdi Honarvar; Shi, Xianming] Washington State Univ, Dept Civil & Environm Engn, Lab Corros Sci & Elect Engn, POB 642910, Pullman, WA 99164 USA	Shi, XM (reprint author), Washington State Univ, Dept Civil & Environm Engn, Lab Corros Sci & Elect Engn, POB 642910, Pullman, WA 99164 USA.	m.honarvarnazari@wsu.edu; xianming.shi@wsu.edu	Shi, Xianming/A-5108-2012	Shi, Xianming/0000-0003-3576-8952	Center for Environmentally Sustainable Transportation in Cold Climates (CESTiCC); Washington State Department of Transportation (WSDOT); National Science FoundationNational Science Foundation (NSF) [1638384]	The authors acknowledge the financial support provided by the Center for Environmentally Sustainable Transportation in Cold Climates (CESTiCC), Washington State Department of Transportation (WSDOT), and the National Science Foundation (Award No. 1638384). The authors would also like to thank Sen Du, Taekil Oh, and Deborah Ave Okon for their assistance in running some of the laboratory experiments.	2	2	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0899-1561	1943-5533		J MATER CIVIL ENG	J. Mater. Civ. Eng.	DEC 1	2019	31	12							04019299	10.1061/(ASCE)MT.1943-5533.0002963			13	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	JD8QQ	WOS:000490246800024					2019-11-15	
J	Mohammedameen, A; Cevik, A; Alzeebaree, R; Nis, A; Gulsan, ME				Mohammedameen, Alaa; Cevik, Abdulkadir; Alzeebaree, Radhwan; Nis, Anil; Gulsan, Mehmet Eren			Performance of FRP confined and unconfined engineered cementitious composite exposed to seawater	JOURNAL OF COMPOSITE MATERIALS			English	Article						Fiber-reinforced polymer; engineered cementitious composite; static and cyclic loading; seawater attacks	MECHANICAL-BEHAVIOR; SEA-SAND; CONCRETE; ECC; DURABILITY; CIVIL	Conventional concrete suffers from brittle failures under mechanical behaviour, and lack of ductility results in the loss of human life and property in earthquake zones. Therefore, the degree of ductility becomes significant in seismic regions. This paper investigates the influence of poly-vinyl alcohol fibers, basalt fiber-reinforced polymer (BFRP) and carbon fiber-reinforced polymer (CFRP) fabrics on the ductility and mechanical performance of low (LCFA) and high (HCFA) calcium fly ash-based engineered cementitious composite concrete. The study also focuses on the mechanical behaviour of the CFRP and BFRP materials using different matrix types exposed to 3.5% seawater environment. Cyclic loading and scanning electron microscopy observations were also performed to see the effect of chloride attack on mechanical performance and ductility of the specimens. In addition, utilization of CFRP and BFRP fabrics as a retrofit material is also evaluated. Results indicated that the degree of ductility and mechanical performance were found to be superior for the CFRP-engineered cementitious composite hybrid specimens under ambient environment, while LCFA-CFRP hybrid specimens showed better performance under seawater environment. The effect of matrix type was also found significant when engineered cementitious composite is used together with fiber-reinforced polymer materials. In addition, both fiber-reinforced polymer materials can be used as a retrofit material under seawater environment.	[Mohammedameen, Alaa; Alzeebaree, Radhwan] Duhok Polytech Univ, Akre Tech Inst, Dahuk, Iraq; [Mohammedameen, Alaa; Alzeebaree, Radhwan] Nawroz Univ, Dept Architecture, Dahuk, Iraq; [Cevik, Abdulkadir; Gulsan, Mehmet Eren] Gaziantep Univ, Civil Engn, Gaziantep, Turkey; [Nis, Anil] Istanbul Gelisim Univ, Dept Civil Engn, Istanbul, Turkey	Mohammedameen, A (reprint author), Duhok Polytech Univ, Baghdad 42002, Iraq.	alaa.mohammedameen@dpu.edu.krd	Mohammedameen, Alaa/M-1869-2019	Mohammedameen, Alaa/0000-0002-7933-8295			41	41	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	0021-9983	1530-793X		J COMPOS MATER	J. Compos Mater.	DEC	2019	53	28-30					4285	4304		10.1177/0021998319857110			20	Materials Science, Composites	Materials Science	IZ4UJ	WOS:000487078400028					2019-11-15	
J	Zhao, Y; Chen, YS; Zhou, YJ				Zhao, Yu; Chen, Yuansong; Zhou, Yongjun			Novel mechanical models of tensile strength and elastic property of FDM AM PLA materials: Experimental and theoretical analyses	MATERIALS & DESIGN			English	Article						Additive manufacturing; Tensile strength; Elastic property; Transverse isotropy; Printing angle; Layer thickness	3D; BEHAVIOR; CONCRETE; DESIGN; PARTS; SURGERY	In order to develop FDM additive manufacturing and promote the application of this technology, the essential mechanical properties including tensile strength and elastic property of PLA material fabricated by FDM additive manufacturing are studied deeply this time. Two novel theoretical models have been built to predict the tensile strength and Young's modulus of FDM additive manufacturing PLA material with different printing angles and layer thicknesses in this study. Firstly, strength theoretical model is established based on transversely isotropic material hypothesis and Tsai-Hill strength criterion. Then, Young's modulus theoretical model is established based on orthotropic material hypothesis under plane stress state. Test data indicates that the tensile strength and Young's Modulus of FDM additive manufacturing PLA material increase as the printing angle increases or the layer thickness decreases. Relative Error (RE) between theoretical results and test data is put forward as a criterion to evaluate the accuracy of the theoretical models quantitatively. All the Relative Error are so small (<= 0.14) that is satisfactory in engineering applications. Therefore, one can confirm that the theoretical models established during this research can predict the tensile strength and Young's modulus of FDM additive manufacturing PLA material with different printing angles and layer thicknesses precisely. (C) 2019 The Authors. Published by Elsevier Ltd.	[Zhao, Yu; Chen, Yuansong; Zhou, Yongjun] Changan Univ, Sch Highway, Xian 710064, Shaanxi, Peoples R China	Zhao, Y (reprint author), Changan Univ, Sch Highway, Xian 710064, Shaanxi, Peoples R China.	zhaoyu@chd.edu.cn			National Natural Science Foundation of ChinaNational Natural Science Foundation of China [51678061]; Fundamental Research Funds for The Central UniversitiesFundamental Research Funds for the Central Universities [310821173401]	This work was supported by National Natural Science Foundation of China (51678061), and Fundamental Research Funds for The Central Universities (310821173401).	6	6	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0264-1275	1873-4197		MATER DESIGN	Mater. Des.	NOV 5	2019	181								UNSP 108089	10.1016/j.matdes.2019.108089			10	Materials Science, Multidisciplinary	Materials Science	JA3XV	WOS:000487763800070		DOAJ Gold			2019-11-15	
J	Avci, E				Avci, Eyubhan			Silica Fume Effect on Engineering Properties of Superfine Cement-Grouted Sands	JOURNAL OF MATERIALS IN CIVIL ENGINEERING			English	Article						Silica fume; Superfine cement; Groutability; Reology; Unconfined compressive strength; Permeability	BEHAVIOR	In this experimental study, the effect of silica fume on the grouting performance of superfine cement and the engineering properties of grouted sand was examined. The experiments were first launched with rheological property determination tests. Bleeding, setting time, and viscosity tests were performed on superfine-cement suspensions with or without silica fume in different water/cement (W/C) ratios. Then, groutability tests were performed on fine to medium sand mixtures prepared in various gradations. Finally, unconfined compression strength (UCS) and falling-head permeability tests were performed on the samples that were successful in the grout test at different time intervals. With the addition of silica fume to superfine cement, the initial and final setting times as well as viscosity values increased, whereas bleeding values decreased. With the addition of silica fume to the superfine cement, the groutability slightly decreased, but the grouting pressure values increased. With the addition of silica fume to superfine cement, UCS values increased, although the permeability values decreased. Sand samples grouted with a superfine-cement suspension with silica fume additive gained strength later than sand samples grouted with superfine-cement suspensions with no additive. Experimental studies have shown that the addition of silica fume to superfine cement improves the engineering properties of the grouted sands.	[Avci, Eyubhan] Bursa Tech Univ, Dept Civil Engn, 152 Evler St 2-10, TR-16330 Yildirim Bursa, Turkey	Avci, E (reprint author), Bursa Tech Univ, Dept Civil Engn, 152 Evler St 2-10, TR-16330 Yildirim Bursa, Turkey.	eyubhanavci@gmail.com					14	14	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0899-1561	1943-5533		J MATER CIVIL ENG	J. Mater. Civ. Eng.	NOV 1	2019	31	11							04019269	10.1061/(ASCE)MT.1943-5533.0002928			13	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	IY1XK	WOS:000486184800015					2019-11-15	
J	Vicente, MA; Ruiz, G; Gonzalez, DC; Minguez, J; Tarifa, M; Zhang, XX				Vicente, Miguel A.; Ruiz, Gonzalo; Gonzalez, Dorys C.; Minguez, Jesus; Tarifa, Manuel; Zhang, Xiaoxin			Effects of fiber orientation and content on the static and fatigue behavior of SFRC by using CT-Scan technology	INTERNATIONAL JOURNAL OF FATIGUE			English	Article						Fiber-reinforced concrete; CT-Scan technology; Crack patterns; Fatigue	COMPUTED-TOMOGRAPHY; REINFORCED CONCRETE	The effects of the fiber orientation and content on the behavior of steel fiber-reinforced concrete (SFRC) under static and cyclic compressive loads are studied using the computed tomography (Cr) technique, and the resistance mechanisms of the fibers are carefully observed. The results suggest that the intrinsic scatter in the fatigue life could be partially explained by the essential scatter in the fiber orientation and content. On the contrary, no relationship is observed between the intrinsic scatter in compressive strength and fiber orientation and content, which suggests that the compressive strength of the specimens is mainly due to their concrete matrix.	[Vicente, Miguel A.; Gonzalez, Dorys C.; Minguez, Jesus] Univ Burgos, E Politecn Super, Campus Milanera,Edif D,Villadiego S-N, Burgos 09001, Spain; [Ruiz, Gonzalo; Zhang, Xiaoxin] Univ Castilla La Mancha, ETSI Ingenieros Caminos C&P, Avda Camilo Jose Cela S-N, E-13071 Ciudad Real, Spain; [Tarifa, Manuel] Univ Politecn Madrid, ETSI Aeronaut & Espacio, Plaza Cardenal Cisneros 3, E-28040 Madrid, Spain	Vicente, MA (reprint author), Univ Burgos, E Politecn Super, Campus Milanera,Edif D,Villadiego S-N, Burgos 09001, Spain.	mvicente@ubu.es	Tarifa Crespo, Manuel Agustin/E-2492-2013; Ruiz, Gonzalo/L-5945-2014; zhang, xiaoxin/G-2117-2015	Tarifa Crespo, Manuel Agustin/0000-0003-1480-9524; Ruiz, Gonzalo/0000-0002-0352-0701; zhang, xiaoxin/0000-0002-7938-6924	Ministerio de Economia y CompetitividadSpanish Ministry of Economy & Competitiveness [BIA2015-68678-C2-R]	The authors are grateful for financial support from the Ministerio de Economia y Competitividad, BIA2015-68678-C2-R, Spain.	15	15	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0142-1123	1879-3452		INT J FATIGUE	Int. J. Fatigue	NOV	2019	128								105178	10.1016/j.ijfatigue.2019.06.038			13	Engineering, Mechanical; Materials Science, Multidisciplinary	Engineering; Materials Science	IW0JE	WOS:000484647400015					2019-11-15	
J	Liu, PF; Hu, J; Falla, GC; Wang, DW; Leischner, S; Oeser, M				Liu, Pengfei; Hu, Jing; Falla, Gustavo Canon; Wang, Dawei; Leischner, Sabine; Oeser, Markus			Primary investigation on the relationship between microstructural characteristics and the mechanical performance of asphalt mixtures with different compaction degrees	CONSTRUCTION AND BUILDING MATERIALS			English	Article						Asphalt mixture; Indirect Tensile Test; Digital Image Processing; Degree of Compaction; Microstructural analysis; 3D fractal dimension	MOISTURE DAMAGE; FATIGUE DAMAGE; AIR-VOIDS; TEMPERATURE	The compaction of asphalt mixtures creates different tensile strengths throughout the asphalt mixture and is thus of importance to ensure durable pavement performance. Asphalt mixtures are composite materials. Therefore, it is necessary to analyse the relationship between the microstructural characteristics and the mechanical performance of asphalt mixtures at different DoCs. In this paper, the 3D microstructures of the asphalt specimens were reconstructed by means of Digital Image Processing (DIP) techniques based on X-ray Computed Tomography (X-ray CT) scanning. Results from the Indirect Tensile Test (ITT) were used to determine the tensile strength of the asphalt specimens. The results show that the relationships between the DoC and the tensile strength as well as the fracture energy are not linear for asphalt specimens at the same testing temperature. This indicates the occurrence of over-compaction during the compaction process. In order to reveal the mechanism of the over compaction at the microscale, the 3D fractal dimension of air voids and aggregates were derived. The 3D fractal dimension of the air voids is variable and constant at first and then becomes smaller during the compaction process. The complexity of the air void morphology is related to the tensile strengths and a hypothesis based on the evolution of 3D fractal dimension of the air voids is proposed in this paper to explain this phenomenon. The results of this research help to increase the understanding regarding the mechanism of over compaction based on the microstructure of the asphalt specimens. (C) 2019 Elsevier Ltd. All rights reserved.	[Liu, Pengfei; Wang, Dawei; Oeser, Markus] Rhein Westfal TH Aachen, Inst Highway Engn, Aachen, Germany; [Hu, Jing] Southeast Univ, Intelligent Transportat Syst Res Ctr, Nanjing, Jiangsu, Peoples R China; [Falla, Gustavo Canon; Leischner, Sabine] Tech Univ Dresden, Inst Urban & Pavement Engn, Dresden, Germany; [Wang, Dawei] Harbin Inst Technol, Sch Transportat Sci & Engn, Harbin, Heilongjiang, Peoples R China	Wang, DW (reprint author), Harbin Inst Technol, Sch Transportat Sci & Engn, Harbin, Heilongjiang, Peoples R China.	wang@isac.rwth-aachen.de	Liu, Pengfei/B-9291-2018	Liu, Pengfei/0000-0001-5983-7305	German Research Foundation (DFG)German Research Foundation (DFG) [OE 514/1-2, WE 1642/1-2, LE 3649/1-2, FOR2089]	This paper is based on a part of the research project carried out at the request of the German Research Foundation (DFG), under research project No. OE 514/1-2, WE 1642/1-2 and LE 3649/1-2 (FOR2089). The authors are solely responsible for the content.	6	6	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0950-0618	1879-0526		CONSTR BUILD MATER	Constr. Build. Mater.	OCT 30	2019	223						784	793		10.1016/j.conbuildmat.2019.07.039			10	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	JA1HW	WOS:000487569100067					2019-11-15	
J	Sharma, D; Chandra, P				Sharma, Deepak; Chandra, Pravin			Identification of latent variables using, factor analysis and multiple linear regression for software fault prediction	INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT			English	Article; Early Access						Software fault prediction; Regression; Factor analysis	DEFECT PREDICTION; QUALITY; METRICS; CLASSIFICATION; VALIDATION	Software practitioners develop models by considering the process of software fault prediction in the early stage of the software development life cycle in order to detect faulty modules. Various statistical and machine learning techniques are examined in the past for fault prediction. In this study, we have performed an empirical analysis of object-oriented (OO) metrics with a review of studies from the year 1996 to 2018 in the literature considering the statistical and machine learning techniques for software fault prediction. In this research, the concept of factor analysis and its sub-measures with regression are used to assess the capabilities for fault-proneness. The authors have also grouped the significant predictors i.e. CK and OO metrics using the factor analysis. In this paper, we have identified significant factor's in five software's datasets. The model is using the factor analysis with regression technique for estimating software fault-proneness. The results calculated prove the potential and capabilities of factor analysis for grouping important factors and using regression to identify the significant predictors. The experimental results obtained prove the ability of factor analysis with regression for predicting the susceptibility of software towards, the grouping of the components and effective use of the concept researchers and software practitioners. However, the significance and the application of the factor analysis with regression in software fault prediction are still limited and focus on these studies should be considered in order to generalize the results. On the basis of the results obtained, researchers are provided with future guidelines in this research work.	[Sharma, Deepak; Chandra, Pravin] Guru Gobind Singh Indraprastha Univ, Univ Sch Informat Commun & Technol, New Delhi, India	Sharma, D (reprint author), Guru Gobind Singh Indraprastha Univ, Univ Sch Informat Commun & Technol, New Delhi, India.	deepakdixit151@gmail.com; chandra.pravin@gmail.com					0	0	SPRINGER INDIA	NEW DELHI	7TH FLOOR, VIJAYA BUILDING, 17, BARAKHAMBA ROAD, NEW DELHI, 110 001, INDIA	0975-6809	0976-4348		INT J SYST ASSUR ENG	Int. J. Syst. Assur. Eng. Manag.												10.1007/s13198-019-00896-5		OCT 2019	21	Engineering, Multidisciplinary	Engineering	JH6ZO	WOS:000492918000002					2019-11-15	
J	Diaz, GF; Ortiz, JM; Silva, JF; Lobos, RA; Egana, AF				Diaz, Gonzalo F.; Ortiz, Julian M.; Silva, Jorge F.; Lobos, Rodrigo A.; Egana, Alvaro F.			Variogram-Based Descriptors for Comparison and Classification of Rock Texture Images	MATHEMATICAL GEOSCIENCES			English	Article; Early Access						Rock texture discrimination; Geo-metallurgy characterization; Variogram-based features; Compact representation; Comparison metrics	QUANTITATIVE ASSESSMENT; FEATURES; STRENGTH; SCALE	Rock characterization is typically performed by geologists in mining companies and involves the analysis of several meters of drill-hole samples to describe distinctive geological properties. In this procedure, rock texture is not typically taken into account despite its importance given its close relation with metallurgical responses and, therefore, all mineral processes. To support the work of geology experts, this research seeks to obtain rock texture information, discriminating it from digital images through image processing and machine learning techniques. For this purpose, a geologist-labeled digital photograph database was used with different rock texture classes (including geological textures and structures) from drill-hole samples. To characterize rock texture, three texture descriptors based on variographic information are proposed, which summarize data contained in the image pixels, focusing on local structural patterns that numerically describe its texture properties. Then, based on a methodology of image texture comparison, which could be extended to classify different types of rock texture classes, a quantification of the system's performance was obtained. The results showed a high discrimination among common texture classes using compact variogram-based features that outperformed previous methods applied on the same rock texture database.	[Diaz, Gonzalo F.; Egana, Alvaro F.] Univ Chile, Dept Min Engn, Alges Lab, Santiago, Chile; [Diaz, Gonzalo F.; Egana, Alvaro F.] Univ Chile, AMTC, Santiago, Chile; [Ortiz, Julian M.] Queens Univ, Robert M Buchan Dept Min, Kingston, ON, Canada; [Silva, Jorge F.] Univ Chile, Dept Elect Engn, Santiago, Chile; [Lobos, Rodrigo A.] Univ Southern Calif, Dept Elect Engn, Los Angeles, CA 90089 USA	Diaz, GF (reprint author), Univ Chile, Dept Min Engn, Alges Lab, Santiago, Chile.; Diaz, GF (reprint author), Univ Chile, AMTC, Santiago, Chile.	gdiaz@alges.cl			CONICYT/PIA Project of the AMTC at the University of Chile [AFB 180004]; BHP-Billiton Base Metals; ALGES Lab at the Department of Mining Engineering at University of Chile; Natural Sciences and Engineering Research Council of Canada (NSERC)Natural Sciences and Engineering Research Council of Canada [RGPIN-2017-04200, RGPAS-2017-507956]; Fondecyt, CONICYT-ChileComision Nacional de Investigacion Cientifica y Tecnologica (CONICYT)CONICYT FONDECYT [1170854]	This research was partially funded by the CONICYT/PIA Project AFB 180004 of the AMTC at the University of Chile. The authors acknowledge the financial support of BHP-Billiton Base Metals during this research collaboration with ALGES Lab at the Department of Mining Engineering at University of Chile. Dr. Ortiz acknowledges the support of the Natural Sciences and Engineering Research Council of Canada (NSERC), funding reference nos. RGPIN-2017-04200 and RGPAS-2017-507956. Dr. Silva acknowledges the support of the Fondecyt Project 1170854, CONICYT-Chile.	0	0	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1874-8961	1874-8953		MATH GEOSCI	Math Geosci.												10.1007/s11004-019-09833-5		OCT 2019	26	Geosciences, Multidisciplinary; Mathematics, Interdisciplinary Applications	Geology; Mathematics	JH1XP	WOS:000492565000001					2019-11-15	
J	Naveed, H; Rehman, ZU; Khan, AH; Qamar, S; Akhtar, MN				Naveed, Haris; Rehman, Zia Ur; Khan, Ammad Hassan; Qamar, Sabih; Akhtar, Majid Niaz			Effect of mineral fillers on the performance, rheological and dynamic viscosity measurements of asphalt mastic	CONSTRUCTION AND BUILDING MATERIALS			English	Article						Asphalt mastic; Mineral fillers; Scanning electron microscopy; Fourier transform infrared spectroscopy; Rheological properties; Viscosity measurements	POWDER	The principal objective involved in this research is to explore the mechanical behaviour of the binder using different mineral fillers such as stone dust (SD), brick dust (BD) and fly ash Class F (FA). Currently, a large quantity of roads is being constructed under the China-Pakistan Economic Corridor (CPEC) project. It is a major concern for quality of road to with stand heavy loads. For the investigation of the quality of roads, it is mandatory to evaluate the behaviour of mineral fillers addition in asphalt mastic. Fatigue cracking, thermal cracking and permanent deformation have been found a major common distress in the construction of road networks. In this study, the behaviour of mineral fillers such as stone dust, brick dust and fly ash Class F was investigated. In flexible pavements, these mineral fillers with different concentrations such as 0%, 3%, 5% and 7% were used. Rheological, Energy dispersive X-ray (EDX) and scanning electron microscopy (SEM) were utilized to find out the effect of mineral fillers as doping agents in asphalt mastic. Mechanical testing was done on dynamic shear rheometer (DSR), rotational viscometer (RV), rolling thin film oven (RTFO) and pressure aging vessel (PAV). Rutting factor G*/Sin ((sic)) from DSR, dynamic viscosity (eta)) from RV, short term aging study from RTFO and long-term aging study from PAV were investigated. The micro structural investigations showed that cracks were reduced using mineral fillers which may be due to the even distributions of particles. Rheological studies of modified binders with fly ash Class F revealed best performance against rutting as compared to stone dust and brick dust. However, the addition of 7% fly ash Class F showed the improvement of 92.17% in rutting factor. In addition, the dynamic viscosity of all three mineral based mixtures were improved at 58 degrees C, 64 degrees C, 70 degrees C and 76 degrees C respectively. The current research reported the low cost, improved performance and good environmental impacts of mineral fillers in asphalt mastic. (C) 2019 Elsevier Ltd. All rights reserved.	[Naveed, Haris; Rehman, Zia Ur; Khan, Ammad Hassan] UET, Dept Transportat Engn & Management, Lahore, Pakistan; [Qamar, Sabih] MNSUET, Dept Chem Engn, Multan 60000, Pakistan; [Akhtar, Majid Niaz] MNSUET, Dept Phys, Multan 60000, Pakistan	Akhtar, MN (reprint author), MNSUET, Dept Phys, Multan 60000, Pakistan.	majidniazakhtar@mnsuet.edu.pk					17	17	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0950-0618	1879-0526		CONSTR BUILD MATER	Constr. Build. Mater.	OCT 20	2019	222						390	399		10.1016/j.conbuildmat.2019.06.170			10	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	IU3BS	WOS:000483454300034					2019-11-15	
J	Momoh, EO; Osofero, AI				Momoh, Emmanuel Owoichoechi; Osofero, Adelaja Israel			Behaviour of oil palm broom fibres (OPBF) reinforced concrete	CONSTRUCTION AND BUILDING MATERIALS			English	Article						Construction; Eco-friendly; Composite; Natural fibres; Oil palm broom fibres; OPBF-concrete; Physical properties; Mechanical properties; Reinforcement	NATURAL FIBER; MECHANICAL PERFORMANCE; BOND-BEHAVIOR; COMPOSITES; STRENGTH; MORPHOLOGY; TENSILE; WASTE; SISAL	Recent concerns on global environmental sustainability and climate change have favoured the use of natural fibres as alternatives to traditional reinforcing steel in concrete due to their low carbon footprint. Oil palm broom fibres (OPBF) which are the ribs of oil palm leaflets have average length, cross-sectional area, density and tensile strength of 900 mm, 1.837 mm(2), 0.84 g/cm(3) and 389 MPa respectively, hence making the fibres superior to steel in terms of strength-to-weight ratio. A study on the effect of OPBF on some mechanical properties of concrete mix of 1:1.5:3 of cement, sand and gravel respectively, was carried out. Short discrete OPBF of 50 mm length were incorporated in the fresh concrete mix at 0.5%, 1%, 1.5%, 2%, 3% and 4% of total aggregate volume. A total of two hundred and seventy-six (276) samples of 150 cubic, 63 cylindrical and 63 prismatic specimens were cast to assess compressive strength of OPBF-concrete at 7, 14, 28, 56 and 112 days, and flexural and split-tensile strengths at 28, 56 and 112 days. Bond strength between OPBF and concrete matrix was also investigated through pull-out tests. Flexural strength and splitting tensile strength of concrete were slightly improved for 0.5-1% OPBF inclusion at 28 days but do not show marked improvements at 112 days. Failure of hardened OPBF-concrete was characterised by more fibre-pull-outs than fibre-fracture but with an enhanced ductility of the composite at failure. The post-yield behaviour of OPBF-concrete shows enhanced energy absorption capacity of between 70 and 320% at 112 days, thereby possessing potential application in low-cost earthquake resistant housing. (C) 2019 Elsevier Ltd. All rights reserved.	[Momoh, Emmanuel Owoichoechi; Osofero, Adelaja Israel] Univ Aberdeen, Kings Coll, Sch Engn, Aberdeen AB24 3UE, Scotland	Osofero, AI (reprint author), Univ Aberdeen, Kings Coll, Sch Engn, Aberdeen AB24 3UE, Scotland.	r01eom18@abdn.ac.uk; aiosofero@abdn.ac.uk			Petroleum Technology Development Fund (PTDF) of Nigeria	The authors wish to thank the Petroleum Technology Development Fund (PTDF) of Nigeria for sponsoring this study.	8	8	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0950-0618	1879-0526		CONSTR BUILD MATER	Constr. Build. Mater.	OCT 10	2019	221						745	761		10.1016/j.conbuildmat.2019.06.118			17	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	IS6EL	WOS:000482245000067					2019-11-15	
